,content
0,want use track-bar change form's opacity. code: decimal trans = trackbar1.value 5000 this.opacity = trans build application gives following error: cannot implicitly convert type decimal double tried using trans double control work. code worked fine past vb.net project. convert decimal double
1,absolutely positioned div containing several children one relatively positioned div. use percentage-based width child div collapses 0 width ie7 firefox safari. use pixel width works. parent relatively positioned percentage width child works. something i'm missing easy fix besides pixel-based width child area css specification covers percentage width child element absolutely positioned parent internet explorer 7
2,given datetime type representing person's birthday calculate age years c# calculate someone's age based datetime type birthday
3,given specific datetime value display relative time like: 2 hours ago 3 days ago month ago calculate relative time c#
4,standard way web server able determine user's timezone within web page perhaps http header part user-agent string determine user's timezone
5,difference math.floor math.truncate .net difference math.floor math.truncate
6,"expose linq query asmx web service usually business tier return typed dataset datatable serialized transport asmx. linq query way populate typed dataset datatable via linq query public static mydatatable callmysproc string conn = ""..."" mydatabasedatacontext db = new mydatabasedatacontext conn mydatatable dt = new mydatatable execute sproc via linq var query = dr db.mysproc .asenumerable select dr copy linq query resultset datatable -this work ! dt = query.copytodatatable return dt get result set linq query dataset datatable alternatively linq query serializable expose asmx web service filling dataset datatable linq query result set"
7,store binary data mysql binary data mysql
8,"i'm looking fastest way obtain value π personal challenge. specifically i'm using ways involve using #define constants like m_pi hard-coding number in. program tests various ways know of. inline assembly version theory fastest option though clearly portable. i've included baseline compare versions. tests built-ins 4 atan 1 version fastest gcc 4.2 auto-folds atan 1 constant. -fno-builtin specified atan2 0 -1 version fastest. here's main testing program pitimes.c : #include <math.h> #include <stdio.h> #include <time.h> #define iters 10000000 #define testwith x \ diff = 0.0 \ time1 = clock \ = 0 < iters ++i \ diff += x - m_pi \ time2 = clock \ printf ""%s\t=> %e time => %f\n"" #x diff diffclock time2 time1 \ static inline double diffclock clock_t time1 clock_t time0 return double time1 - time0 clocks_per_sec int main int clock_t time1 time2 double diff warmup. atan2 case catches gcc's atan folding would optimise ``4 atan 1 - m_pi'' no-op -fno-builtin used. testwith 4 atan 1 testwith 4 atan2 1 1 #if defined __gnuc__ && defined __i386__ defined __amd64__ extern double fldpi testwith fldpi #endif actual tests start here. testwith atan2 0 -1 testwith acos -1 testwith 2 asin 1 testwith 4 atan2 1 1 testwith 4 atan 1 return 0 inline assembly stuff fldpi.c work x86 x64 systems: double fldpi double pi asm ""fldpi"" : ""=t"" pi return pi build script builds configurations i'm testing build.sh : #! bin sh gcc -o3 -wall -c -m32 -o fldpi-32.o fldpi.c gcc -o3 -wall -c -m64 -o fldpi-64.o fldpi.c gcc -o3 -wall -ffast-math -m32 -o pitimes1-32 pitimes.c fldpi-32.o gcc -o3 -wall -m32 -o pitimes2-32 pitimes.c fldpi-32.o -lm gcc -o3 -wall -fno-builtin -m32 -o pitimes3-32 pitimes.c fldpi-32.o -lm gcc -o3 -wall -ffast-math -m64 -o pitimes1-64 pitimes.c fldpi-64.o -lm gcc -o3 -wall -m64 -o pitimes2-64 pitimes.c fldpi-64.o -lm gcc -o3 -wall -fno-builtin -m64 -o pitimes3-64 pitimes.c fldpi-64.o -lm apart testing various compiler flags i've compared 32-bit 64-bit optimizations different i've also tried switching order tests around. still atan2 0 -1 version still comes top every time. fastest way get value π"
9,trigger update table throw error prevents update table throw error mysql trigger
