,AllTags,tags_list,corrected_tags_list
0,c# floating-point type-conversion double decimal,"['c#', 'floating-point', 'type-conversion', 'double', 'decimal']",['c#']
1,html css internet-explorer-7,"['html', 'css', 'internet-explorer-7']","['html', 'css']"
2,c# .net datetime,"['c#', '.net', 'datetime']","['c#', '.net']"
3,c# datetime time datediff relative-time-span,"['c#', 'datetime', 'time', 'datediff', 'relative-time-span']",['c#']
4,html browser timezone user-agent timezone-offset,"['html', 'browser', 'timezone', 'user-agent', 'timezone-offset']",['html']
5,.net math,"['.net', 'math']",['.net']
6,c# linq web-services .net-3.5,"['c#', 'linq', 'web-services', '.net-3.5']",['c#']
7,mysql database binary-data data-storage,"['mysql', 'database', 'binary-data', 'data-storage']","['mysql', 'database']"
8,performance algorithm language-agnostic unix pi,"['performance', 'algorithm', 'language-agnostic', 'unix', 'pi']","['performance', 'language-agnostic']"
9,mysql database triggers,"['mysql', 'database', 'triggers']","['mysql', 'database']"
10,c++ c sockets mainframe zos,"['c++', 'c', 'sockets', 'mainframe', 'zos']","['c++', 'c']"
11,arrays actionscript-3 apache-flex,"['arrays', 'actionscript-3', 'apache-flex']",[]
12,sql sql-server datatable rdbms,"['sql', 'sql-server', 'datatable', 'rdbms']","['sql', 'sql-server']"
13,c# .net vb.net timer,"['c#', '.net', 'vb.net', 'timer']","['c#', '.net']"
14,php plugins architecture hook,"['php', 'plugins', 'architecture', 'hook']",['php']
15,html forms form-submit submit-button,"['html', 'forms', 'form-submit', 'submit-button']",['html']
16,c# linq .net-3.5,"['c#', 'linq', '.net-3.5']",['c#']
17,mime file-type office-2007,"['mime', 'file-type', 'office-2007']",[]
18,linq .net-3.5,"['linq', '.net-3.5']",[]
19,ruby rdoc,"['ruby', 'rdoc']",['ruby']
20,eclipse svn aptana subclipse,"['eclipse', 'svn', 'aptana', 'subclipse']",['svn']
21,apache-flex actionscript-3 air,"['apache-flex', 'actionscript-3', 'air']",[]
22,php sql database flat-file,"['php', 'sql', 'database', 'flat-file']","['php', 'sql', 'database']"
23,linux winapi visual-c++ unix timer,"['linux', 'winapi', 'visual-c++', 'unix', 'timer']",['linux']
24,svn tortoisesvn branch branching-and-merging,"['svn', 'tortoisesvn', 'branch', 'branching-and-merging']",['svn']
25,.net performance memory-leaks com-interop,"['.net', 'performance', 'memory-leaks', 'com-interop']","['.net', 'performance']"
26,windows svn 64-bit,"['windows', 'svn', '64-bit']","['windows', 'svn']"
27,c# sql vb.net ascii hex,"['c#', 'sql', 'vb.net', 'ascii', 'hex']","['c#', 'sql']"
28,sql asp.net xml sitemap,"['sql', 'asp.net', 'xml', 'sitemap']","['sql', 'asp.net', 'xml']"
29,java xml csv data-conversion,"['java', 'xml', 'csv', 'data-conversion']","['java', 'xml']"
30,java php oop theory,"['java', 'php', 'oop', 'theory']","['java', 'php']"
31,mysql sql-server csv sql-server-2005 bcp,"['mysql', 'sql-server', 'csv', 'sql-server-2005', 'bcp']","['mysql', 'sql-server']"
32,.net database xsd,"['.net', 'database', 'xsd']","['.net', 'database']"
33,c# .net file compression,"['c#', '.net', 'file', 'compression']","['c#', '.net']"
34,php apache logging download analytics,"['php', 'apache', 'logging', 'download', 'analytics']",['php']
35,.net asp.net svn versioning,"['.net', 'asp.net', 'svn', 'versioning']","['.net', 'asp.net', 'svn']"
36,windows embed media,"['windows', 'embed', 'media']",['windows']
37,sql-server database svn version-control,"['sql-server', 'database', 'svn', 'version-control']","['sql-server', 'database', 'svn']"
38,c# html web-services printing,"['c#', 'html', 'web-services', 'printing']","['c#', 'html']"
39,youtube reverse-engineering,"['youtube', 'reverse-engineering']",[]
40,linux apache virtualhost,"['linux', 'apache', 'virtualhost']",['linux']
41,algorithm language-agnostic colors color-space,"['algorithm', 'language-agnostic', 'colors', 'color-space']",['language-agnostic']
