,AllTags,tags_list,corrected_tags_list,.net,asp.net,c,c#,c++,css,database,html,java,javascript,language-agnostic,linux,mysql,performance,php,python,ruby,sql,sql-server,svn,unit-testing,visual-studio,windows,winforms,xml
0,c# floating-point type-conversion double decimal,"['c#', 'floating-point', 'type-conversion', 'double', 'decimal']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,html css internet-explorer-7,"['html', 'css', 'internet-explorer-7']","['html', 'css']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,c# .net datetime,"['c#', '.net', 'datetime']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,c# datetime time datediff relative-time-span,"['c#', 'datetime', 'time', 'datediff', 'relative-time-span']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,html browser timezone user-agent timezone-offset,"['html', 'browser', 'timezone', 'user-agent', 'timezone-offset']",['html'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,.net math,"['.net', 'math']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,c# linq web-services .net-3.5,"['c#', 'linq', 'web-services', '.net-3.5']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,mysql database binary-data data-storage,"['mysql', 'database', 'binary-data', 'data-storage']","['mysql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,performance algorithm language-agnostic unix pi,"['performance', 'algorithm', 'language-agnostic', 'unix', 'pi']","['performance', 'language-agnostic']",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,mysql database triggers,"['mysql', 'database', 'triggers']","['mysql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,c++ c sockets mainframe zos,"['c++', 'c', 'sockets', 'mainframe', 'zos']","['c++', 'c']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,arrays actionscript-3 apache-flex,"['arrays', 'actionscript-3', 'apache-flex']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,sql sql-server datatable rdbms,"['sql', 'sql-server', 'datatable', 'rdbms']","['sql', 'sql-server']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
13,c# .net vb.net timer,"['c#', '.net', 'vb.net', 'timer']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,php plugins architecture hook,"['php', 'plugins', 'architecture', 'hook']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,html forms form-submit submit-button,"['html', 'forms', 'form-submit', 'submit-button']",['html'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,c# linq .net-3.5,"['c#', 'linq', '.net-3.5']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,mime file-type office-2007,"['mime', 'file-type', 'office-2007']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,linq .net-3.5,"['linq', '.net-3.5']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ruby rdoc,"['ruby', 'rdoc']",['ruby'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,eclipse svn aptana subclipse,"['eclipse', 'svn', 'aptana', 'subclipse']",['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,apache-flex actionscript-3 air,"['apache-flex', 'actionscript-3', 'air']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,php sql database flat-file,"['php', 'sql', 'database', 'flat-file']","['php', 'sql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
23,linux winapi visual-c++ unix timer,"['linux', 'winapi', 'visual-c++', 'unix', 'timer']",['linux'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,svn tortoisesvn branch branching-and-merging,"['svn', 'tortoisesvn', 'branch', 'branching-and-merging']",['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,.net performance memory-leaks com-interop,"['.net', 'performance', 'memory-leaks', 'com-interop']","['.net', 'performance']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
